Emp ID|First Name|Last Name|Gender|E Mail|Date of Birth|Date of Joining|Salary|Last % Hike|Phone No. |County|City|Zip
301576|Wayne|Watson|M|wayne.watson@gmail.com|6/26/1996|7/19/2017|92758|14%|701-231-9370|Cavalier|Maida|58255
441771|Cheryl|Scott|F|cheryl.scott@gmail.com|2/23/1958|11/26/1990|92220|12%|215-288-9345|Somerset|Quecreek|15555
528509|Paula|Diaz|F|paula.diaz@gmail.com|8/22/1966|8/22/1994|152654|8%|252-531-7641|Duplin|Beulaville|28518
912990|Joshua|Stewart|M|joshua.stewart@yahoo.ca|5/18/1970|9/2/2002|184896|1%|217-279-9342|Madison|New Douglas|62074
214352|Theresa|Lee|F|theresa.lee@gmail.com|12/5/1992|1/19/2015|197537|1%|319-553-8919|Mitchell|Toeterville|50481
890290|Julia|Scott|F|julia.scott@apple.com|7/15/1959|2/23/2005|141518|3%|423-939-1010|Hickman|Primm Springs|38476
622406|Thomas|Lewis|M|thomas.lewis@gmail.com|10/4/1967|6/7/1998|73862|3%|314-679-3697|Cape Girardeau|Dutchtown|63745
979607|Carol|Edwards|F|carol.edwards@msn.com|12/14/1994|4/25/2016|93967|30%|225-283-4295|Caddo|Shreveport|71162
969580|Matthew|Turner|M|matthew.turner@gmail.com|10/26/1993|2/7/2016|52237|9%|236-972-7624|Northumberland|Heathsville|22473
426038|Joan|Stewart|F|joan.stewart@yahoo.com|11/20/1972|12/30/2009|111673|12%|216-637-6800|Meigs|Middleport|45760
388642|Ruby|Rogers|F|ruby.rogers@gmail.com|5/1/1980|8/30/2013|160623|9%|423-231-6507|Cannon|Woodbury|37190
560455|Carolyn|Hayes|F|carolyn.hayes@hotmail.co.uk|3/10/1958|7/3/2001|42005|14%|239-882-8784|Osceola|Saint Cloud|34771
477253|Anne|Russell|F|anne.russell@ibm.com|7/29/1989|11/24/2013|103160|29%|605-635-1306|Grant|Stockholm|57264
263480|Daniel|Cooper|M|daniel.cooper@yahoo.com|1/1/1990|3/6/2014|153790|13%|701-510-8162|Dunn|Manning|58642
683826|Roger|Roberts|M|roger.roberts@gmail.com|7/7/1969|1/29/2009|129625|12%|206-497-3141|Skagit|Mount Vernon|98273
474599|Maria|Walker|F|maria.walker@microsoft.com|3/19/1975|10/1/1998|48944|21%|423-668-5506|Lawrence|Lawrenceburg|38464
335732|Brenda|Butler|F|brenda.butler@gmail.com|12/6/1963|8/20/1987|60508|29%|480-814-8284|Maricopa|Mesa|85208
329752|Lillian|Brown|F|lillian.brown@aol.com|5/12/1981|4/13/2015|67251|22%|239-812-9041|Wakulla|Panacea|32346
893212|Amy|Howard|F|amy.howard@aol.com|6/16/1981|6/1/2003|112715|30%|803-613-3168|Kline|Kline|29814
621833|Gregory|Edwards|M|gregory.edwards@outlook.com|8/31/1993|9/30/2015|169245|22%|503-256-9654|Klamath|Bonanza|97623
456747|Roy|Griffin|M|roy.griffin@yahoo.com|5/8/1991|8/23/2012|170895|19%|219-506-9378|Union|Liberty|47353
278556|Richard|Mitchell|M|richard.mitchell@verizon.net|7/28/1993|8/18/2016|122226|14%|205-621-5884|Calhoun|Ohatchee|36271
333476|Mary|Wilson|F|mary.wilson@sbcglobal.net|12/1/1967|12/22/1991|109394|16%|423-937-8660|Davidson|Nashville|37219
218791|Aaron|Price|M|aaron.price@bp.com|2/10/1969|7/3/1997|54402|0%|219-287-8926|Crawford|Eckerty|47116
134841|Donna|Brown|F|donna.brown@aol.com|9/14/1983|7/17/2013|129836|8%|212-434-7910|Livingston|Lima|14485
726264|Carl|Collins|M|carl.collins@yahoo.com|12/22/1973|6/9/2007|162159|7%|479-740-7633|Jefferson|Wright|72182
766610|Joyce|Jenkins|F|joyce.jenkins@aol.com|8/22/1961|5/14/2010|119321|13%|262-455-4187|Pierce|Ellsworth|54011
923947|Mary|Bryant|F|mary.bryant@verizon.net|6/21/1962|5/20/2004|155442|4%|319-827-3516|Iowa|Conroy|52220
227922|Amanda|Hughes|F|amanda.hughes@rediffmail.com|7/29/1982|4/19/2007|114257|22%|225-544-9700|Calcasieu|Lake Charles|70605
265813|Jack|Campbell|M|jack.campbell@gmail.com|1/4/1985|7/29/2007|186280|23%|316-499-5737|Kalvesta|Kalvesta|67856
247137|Alan|Rivera|M|alan.rivera@apple.com|12/11/1978|6/7/2006|154810|12%|423-277-6819|Knox|Knoxville|37901
407061|Elizabeth|Jackson|F|elizabeth.jackson@aol.com|8/15/1964|1/19/2005|85420|24%|603-568-6118|Strafford|Rochester|3867
226714|Nancy|Davis|F|nancy.davis@ibm.com|11/14/1983|8/25/2012|94986|11%|219-610-3067|Clay|Bowling Green|47833
702813|Ernest|Martinez|M|ernest.martinez@gmail.com|11/9/1989|1/24/2016|172098|8%|479-951-4138|Crawford|Uniontown|72955
524896|Judy|Hernandez|F|judy.hernandez@gmail.com|3/25/1961|12/27/2011|133332|30%|316-736-6126|Shawnee|Topeka|66606
363065|Nancy|Jones|F|nancy.jones@gmail.com|11/10/1993|10/16/2015|61924|4%|212-825-1930|New York|New York City|10087
879753|Pamela|Wright|F|pamela.wright@aol.com|4/14/1996|6/9/2017|149262|9%|307-329-8832|Sheridan|Banner|82832
958326|Larry|Miller|M|larry.miller@shell.com|10/31/1988|2/22/2017|97904|20%|217-574-9283|St. Clair|East Saint Louis|62201
447813|Ann|Coleman|F|ann.coleman@ibm.com|5/11/1989|11/19/2013|130014|12%|319-994-4179|Pottawattamie|Hancock|51536
525955|Judy|Gonzales|F|judy.gonzales@gmail.com|6/17/1959|1/3/1992|149575|9%|201-640-8645|Monmouth|Eatontown|7724
818384|Peter|Washington|M|peter.washington@bp.com|11/6/1982|11/29/2009|173226|27%|231-322-0316|Kalamazoo|Portage|49024
971640|Clarence|Ross|M|clarence.ross@apple.com|12/13/1960|12/31/2008|165272|9%|423-772-0118|Scott|Oneida|37841
253573|Sharon|Lopez|F|sharon.lopez@gmail.com|5/4/1991|3/7/2014|190139|21%|304-934-5548|McDowell|Bartley|24813
904898|Ann|Cooper|F|ann.cooper@exxonmobil.com|12/25/1992|2/15/2017|182521|30%|406-278-6460|Lake|Arlee|59821
515103|Anne|Perez|F|anne.perez@sbcglobal.net|5/5/1958|7/28/2003|114426|9%|423-837-3338|Putnam|Cookeville|38505
491943|Nancy|Howard|F|nancy.howard@gmail.com|5/5/1961|2/6/1999|101553|25%|236-973-8086|Charlotte|Saxe|23967
750173|Antonio|Roberts|M|antonio.roberts@hotmail.com|8/27/1995|5/1/2017|181646|30%|205-267-7304|Jefferson|Mc Calla|35111
687017|Frances|Watson|F|frances.watson@outlook.com|1/30/1961|8/20/2010|46945|22%|406-530-8069|Lincoln|Trego|59934
241882|Debra|Wood|F|debra.wood@hotmail.com|10/30/1969|1/10/1991|84318|19%|308-646-6219|Washington|Blair|68009
758872|Henry|Jenkins|M|henry.jenkins@hotmail.com|11/6/1984|6/21/2017|102384|11%|314-731-7135|Platte|Riverside|64150
940922|Melissa|Butler|F|melissa.butler@hotmail.com|11/14/1994|2/5/2017|167631|30%|308-827-9016|Lincoln|Maxwell|69151
917937|Todd|Hall|M|todd.hall@yahoo.com|8/31/1991|5/8/2016|163560|0%|240-513-8668|Baltimore|Randallstown|21133
917395|Christopher|Nelson|M|christopher.nelson@aol.com|3/29/1960|11/8/1997|190765|0%|480-946-9780|Mohave|Willow Beach|86445
183071|Andrea|Garcia|F|andrea.garcia@aol.com|7/6/1985|4/18/2010|54179|25%|219-624-3708|St. Joseph|Granger|46530
316110|Jeremy|Sanchez|M|jeremy.sanchez@hotmail.com|2/5/1965|4/2/2006|178847|1%|423-974-2755|Blount|Alcoa|37701
293459|Steven|Phillips|M|steven.phillips@hotmail.com|9/12/1986|3/27/2015|90108|24%|225-968-5952|East Baton Rouge|Baton Rouge|70833
732017|Cynthia|Ramirez|F|cynthia.ramirez@btinternet.com|9/22/1982|2/18/2009|90531|2%|406-961-7340|Glacier|Browning|59417
915638|Jason|Anderson|M|jason.anderson@gmail.com|1/3/1974|9/21/1999|76636|19%|217-856-6752|McLean|Hudson|61748
478003|Cynthia|White|F|cynthia.white@gmail.com|6/15/1963|3/4/2004|186200|30%|314-593-3092|Jackson|Kansas City|64133
951225|Margaret|Brooks|F|margaret.brooks@gmail.com|6/27/1992|8/26/2016|43867|9%|303-960-0117|Kiowa|Haswell|81045
883936|Douglas|Flores|M|douglas.flores@gmail.com|4/21/1986|9/10/2009|181793|20%|303-836-4721|Delta|Eckert|81418
528673|Paul|Watson|M|paul.watson@hotmail.com|3/9/1959|6/26/1995|145235|15%|270-556-7711|Floyd|Blue River|41607
765850|Linda|Moore|F|linda.moore@gmail.com|8/18/1991|5/15/2017|113256|18%|215-793-7095|Erie|Albion|16401
262382|Cheryl|Miller|F|cheryl.miller@ntlworld.com|4/20/1985|7/30/2007|64143|3%|270-880-3858|Breathitt|Bays|41310
870820|Martha|Washington|F|martha.washington@aol.com|3/28/1991|3/3/2017|116629|25%|405-945-0242|Kay|Nardin|74646
806955|William|Hernandez|M|william.hernandez@rediffmail.com|7/22/1967|3/21/2000|73734|22%|239-276-0532|Okaloosa|Mary Esther|32569
325319|Carolyn|Price|F|carolyn.price@yahoo.com|5/30/1976|11/5/2014|48736|2%|217-409-4338|DuPage|Wheaton|60189
623253|Ruby|Stewart|F|ruby.stewart@gmail.com|10/23/1968|7/2/2017|174774|7%|218-445-2369|Koochiching|Margie|56658
225925|Paul|Cooper|M|paul.cooper@gmail.com|8/12/1991|9/8/2014|73526|27%|210-984-4722|Colorado|Glidden|78943
761821|Ernest|Washington|M|ernest.washington@msn.com|10/28/1984|1/31/2015|176675|15%|212-596-1659|Franklin|Saranac Lake|12983
400173|Dorothy|Edwards|F|dorothy.edwards@hotmail.co.uk|1/19/1984|12/31/2013|179017|1%|215-902-6888|Philadelphia|Philadelphia|19132
802554|Ryan|Alexander|M|ryan.alexander@shell.com|8/1/1993|8/31/2014|106628|24%|225-395-3347|Pointe Coupee|Jarreau|70749
476433|Lillian|Mitchell|F|lillian.mitchell@shaw.ca|10/23/1974|12/7/1999|149878|3%|316-876-1484|Sedgwick|Wichita|67214
533952|Kelly|Adams|F|kelly.adams@bp.com|5/23/1975|7/4/2013|51878|15%|405-418-0037|Major|Meno|73760
623929|Jimmy|Howard|M|jimmy.howard@yahoo.com|11/27/1966|12/12/2007|120631|13%|212-855-9316|Oneida|Oriskany|13424
844177|Margaret|Allen|F|margaret.allen@gmail.com|9/8/1981|5/17/2013|180107|22%|216-697-6987|Ross|Richmond Dale|45673
212893|Janet|Henderson|F|janet.henderson@ntlworld.com|12/24/1979|12/18/2012|114481|5%|239-769-6347|Miami-Dade|Miami|33166
185032|Eugene|Perez|M|eugene.perez@exxonmobil.com|10/6/1979|12/8/2014|122950|26%|262-472-7112|Racine|Racine|53490
867084|Deborah|Smith|F|deborah.smith@yahoo.com|10/31/1977|3/4/2002|52767|28%|907-279-8694|North Slope|Atqasuk|99791
969964|Janice|Parker|F|janice.parker@yahoo.com|1/12/1980|8/23/2016|147641|25%|314-842-5984|Johnson|Whiteman Air Force Base|65305
158666|Rebecca|Stewart|F|rebecca.stewart@gmail.com|8/11/1961|4/10/1983|160043|9%|209-233-7631|Inyo|Independence|93526
489424|Phillip|White|M|phillip.white@gmail.com|3/4/1978|1/5/2016|181774|7%|503-668-6592|Lane|Mapleton|97453
639892|Jose|Hill|M|jose.hill@hotmail.com|10/8/1994|7/9/2016|129774|15%|228-245-5000|Harrison|Biloxi|39532
704709|Harold|Nelson|M|harold.nelson@gmail.com|12/24/1984|8/23/2011|156194|0%|217-555-9216|Carol Stream|Carol Stream|60351
461593|Nicole|Ward|F|nicole.ward@yahoo.com|12/12/1964|1/23/1989|95673|12%|231-761-7861|Wayne|Detroit|48278
392491|Theresa|Murphy|F|theresa.murphy@gmail.com|12/30/1987|8/3/2010|51015|11%|907-356-1555|Yukon-Koyukuk CA|Mc Grath|99627
495141|Tammy|Young|F|tammy.young@comcast.net|3/22/1979|4/25/2015|93650|7%|231-290-3075|Gratiot|Alma|48801
